Nom;Nom (EN);D?finition;Nom de la Vue (logique);Nom de la Colonne (logique);Nom de la Vue (physique);Nom de la Colonne (physique)
Identifiant du Tiers - Jambe emprunteuse;Non renseigné;"Permet d'identifier de manière unique le tiers dans le système Zone de Partage
Notion technique a-significative et invariante dans le temps (d'un arrêté sur l'autre)";Contrats;Borrowing Leg Issuer Party Id;TEC_CONTRACT;BORWG_LEG_ISSUR_PRTY_ID
Information complémentaire nature juridique 4;Non renseigné;Précisions qualitatives supplémentaires sur le sous-jacent du FRR affinant l'information remontée en M1 5.4.;Garanties reçues;Legal Nature Additional Information 4 Cd;TEC_RECEIVED_GUARANTEE;LEGL_NATR_ADDL_INFOMTN_4_CD
Devise montant Add-on affacturage;Non renseigné;Devise du montant du Add-on affacturage;Lignes d'autorisation;Purchased Receivable Premium Amt Currency Cd;TEC_AUTORIZATION_LINE;PRCHD_RECVBL_PREM_AMT_CURY_CD
Quantité à livrer;Non renseigné;Quantité à livrer;Contrats;Sell Notional Qty;TEC_CONTRACT;SEL_NOTL_QTY
Indicateur créance titrisée;Non renseigné;Indicateur créance titrisée;Contrats;Securitized Debt Ind;TEC_CONTRACT;SCURTZD_DEBT_IND
Montant global initial tranche autorisation;Non renseigné;Montant initial global toutes banques pour la tranche de l'autorisation;Autorisation;Facility Tranche Original Amt;TEC_AUTORIZATION;FAC_TRNCH_ORIGNL_AMT
Date d'arrêté;Non renseigné;Non renseigné;Arrêtés;Statement Dt;TEC_STATEMENT_DATE;STTM_DT
Motif de la notation;Non renseigné;Raison de la notation.;Tiers;Rating Purpose Cd;TEC_PARTY;RTG_PRPS_CD
Reconnaissance de la clause de bail-in;Non renseigné;Reconnaissance de la clause contractuelle de bail-in dans la configuration où le contrat de l'instrument est libellé dans le droit d'un pays tiers (Oui / Non);Contrats;Third Party Contractual Recognition ind;TEC_CONTRACT;THIRD_PRTY_CNTRCTUAL_RCOGTN_IND
Indicateur niveau risque;Non renseigné;Indicateur niveau de risque;Contrats;Risk Level Cd;TEC_CONTRACT;RISK_LVL_CD
Situation judiciaire;Non renseigné;Etat d'avancement des procédures judiciaires;Tiers;Judicial Status Cd;TEC_PARTY;JUDICIAL_STS_CD
Méthodologie notation tiers;Non renseigné;Méthodologie de notation du tiers;"Tranches ""OMP""";Party Rating Methodology Cd;TEC_IFRS9_TRANCHE;PRTY_RTG_METHDGY_CD
Devise montant Valeurs Non Imputées en intérêts;Non renseigné;Code devise des montants des Valeurs Non Imputées en intérêts;Contrats;Non Imputed Values Interest Amt Currency Cd;TEC_CONTRACT;NON_IMPUTD_VALS_INT_AMT_CURY_CD
Montant cumulé recouvrements depuis défaut;Non renseigné;Montant cumulé recouvrements depuis défaut;Contrats;Cumulated Recovery Amt;TEC_CONTRACT;CUMULATED_RCVRY_AMT
Montant minimum de transfert d'appel de marge (euro);Non renseigné;Non renseigné;Contrats;Margin Call Transfert Minimal Euro Amt;TEC_CONTRACT;MRGN_CALL_TFRT_MINIMAL_EURO_AMT
Indicateur qualité montage repossession;Non renseigné;Qualité du montage / Repossession.;Garanties reçues;Mortgage Quality Ind;TEC_RECEIVED_GUARANTEE;MORTAGE_QLTY_IND
Devise sûreté;Non renseigné;Devise de montant du contrat à l’origine;Garanties reçues;Revised Amt Currency Cd;TEC_RECEIVED_GUARANTEE;RVSD_AMT_CURY_CD
Taux facial prêt fixe;Non renseigné;Taux facial du prêt fixe (exprimé en pourcentage);Contrats;Fixed Interest Rate;TEC_CONTRACT;FIXD_INT_RATE
Pays de contrôle;Non renseigné;Code ISO du pays;Tiers;Control Country Cd;TEC_PARTY;CNTRL_CTRY_CD
Devise de paiement Balancing Payment initiale - Jambe rec.;Non renseigné;Non renseigné;Contrats;Lending Leg Initial Balancing Payment Amt Currency Cd;TEC_CONTRACT;LENDG_LEG_INIT_BLNCG_PMT_AMT_CURY_CD
Référence locale élément contrat;Non renseigné;Référence unique de l'élément de contrat dans le système de gestion local de l'entité remettante;Echéanciers;Host Sub Agreement Num;TEC_SCHEDULE;HOST_SUB_AGMT_NUM
Code postal;Non renseigné;Code postal;Tiers;Postal Code Num;TEC_PARTY;POSTL_CD_NUM
Organisme de mobilisation;Non renseigné;Nom de l'organisme auprès duquel les créances déclarées éligibles par les Caisses régionales ont effectivement été mobilisées par Crédit Agricole S.A.;Contrats;Mobilization Organization Name;TEC_CONTRACT;MOBILIZATION_ORG_NAME
Mobilisation actif;Non renseigné;Permet d'identifier si l'actif est mobilisé, mobilisable ou non mobilisable;Contrats;Asset Mobilisation Cd;TEC_CONTRACT;ASSET_MOBILISATION_CD
Devise solde compte;Non renseigné;Devise d'expression du solde du compte;Contrats;Ending Ledger Balance Amt Currency Cd;TEC_CONTRACT;ENDG_LEDGR_BAL_AMT_CURY_CD
Montant versement initial (euro);Non renseigné;Montant du versement initial du produit;Contrats;Initial Payment Euro Amt;TEC_CONTRACT;INIT_PMT_EURO_AMT
Montant global du nominal des titres;Non renseigné;Valable pour les obligations;Contrats;Securities Global Nominal Amt;TEC_CONTRACT;SCURTS_GLOBL_NMNL_AMT
Indicateur Donnée Contrat;Non renseigné;"Permet d'identifier les paliers issus des données Contrat (création du palier dans la Zone de Partage à partir des données de niveau contrat)
Valeurs possibles : Y (palier créé dans la ZP), N (palier sourcé)";Paliers;Data From Contract Ind;TEC_SCHEDULE_STAGE;DATA_FROM_CNTRCT_IND
Rôle d'intragroupe;Non renseigné;Rôle d'intragroupe;Lignes d'autorisation;Intragroup Role Cd;TEC_AUTORIZATION_LINE;INTRAGRP_ROLE_CD
Balancing Payment de dénouement - Jambe pay.;Non renseigné;Non renseigné;Contrats;Borrowing Leg Unwinding Initial Balancing Payment Amt;TEC_CONTRACT;BORWG_LEG_UNWINDING_INIT_BLNCG_PMT_AMT
CCF appliqué;Non renseigné;CCF appliqué à l'encours;"Tranches ""OMP""";CCF Applied Val;TEC_IFRS9_TRANCHE;CCF_APLD_VAL
Niveau régulation pays Tiers garant;Non renseigné;Niveau de régulation du pays se référant au Tiers garant;"Tranches ""OMP""";Guarantor Country Regulation Level Cd;TEC_IFRS9_TRANCHE;GUARTR_CTRY_RGLTN_LVL_CD
Nominal de la patte cash;Non renseigné;Non renseigné;Contrats;Cash Leg Amt;TEC_CONTRACT;CSH_LEG_AMT
Valeur critères agrégation;Non renseigné;Ce champ permet de remonter les critères complémentaires d'agrégation;Tiers;Pooling Criteria Val;TEC_PARTY;POOLG_CRITRA_VAL
Montant MtM brut;Non renseigné;Non renseigné;Contrats;Gross Mark To Market Amt;TEC_CONTRACT;GRS_MK_TO_MKT_AMT
Indicateur accord netting;Non renseigné;Indicateur permettant de préciser si l'opération de marché entre dans le cadre d'un accord de netting;Contrats;Netting Agreement Ind;TEC_CONTRACT;NETG_AGMT_IND
Durée initiale du contrat en mois;Non renseigné;Exprimée en nombre de mois, correspond à la durée du contrat  à la signature;Contrats;Initial Duration Num;TEC_CONTRACT;INIT_DURTN_NUM
Devise montant MtM net si accord de netting;Non renseigné;Devise du montant du MtM net si accord de netting;Contrats;Netting Agreement MtM Amt Currency Cd;TEC_CONTRACT;NETG_AGMT_MTM_AMT_CURY_CD
Montant Tranche - Niveau 1;Non renseigné;Montant Tranche – niveau 2;"Tranches ""OMP""";Tranche Level 1 Amt;TEC_IFRS9_TRANCHE;TRNCH_LVL_CROS_DK_AMT
Montant échéance en cours (euro);Non renseigné;Montant de l'échéance en cours (euro);Contrats;Payment Euro Amt;TEC_CONTRACT;PMT_EURO_AMT
Convention jour de calcul intérêts - Jambe prêt.;Non renseigné;Non renseigné;Contrats;Lending Leg Interest Calculation Convention Day Cd;TEC_CONTRACT;LENDG_LEG_INT_CALCN_CNVTN_DY_CD
Montant actualisé global;Non renseigné;Montant mis à jour global toutes banques toutes tranches confondues;Autorisation;Global Updated Amt;TEC_AUTORIZATION;GLOBL_UPDTD_AMT
Type relation couverture;Non renseigné;Permet d'identifier le périmètre des dérivés de couverture;Contrats;Hedging Relation Type Cd;TEC_CONTRACT;HEDGING_RLTN_TYPE_CD
Montant coût amorti (euro);Non renseigné;montant coût amorti en euros;"Tranches ""OMP""";Amortized Cost Euro Amt;TEC_IFRS9_TRANCHE;AMRTZD_COST_EURO_AMT
libellé de la Nature de la dépréciation;Non renseigné;Non renseigné;Provisions;Depreciation Type Lb;TEC_DEPRECIATION;DPRCTN_TYPE_LB
Montant Contrat à l'origine;Non renseigné;Montant global initial;Lignes d'autorisation;Agreement Original Amt;TEC_AUTORIZATION_LINE;AGMT_ORIGNL_AMT
Seuil déclenchement appel marge;Non renseigné;Seuil de déclenchement de l'appel de marge;Contrats;Margin Call Triggering Threshold Amt;TEC_CONTRACT;MRGN_CALL_TRIGRING_THRSH_AMT
Devise Montant contrat à l'origine;Non renseigné;Devise de montant du contrat à l’origine;Contrats;Agreement Original Amt Currency Cd;TEC_CONTRACT;AGMT_ORIGNL_AMT_CURY_CD
Date contractuelle de call;Non renseigné;Date contractuelle de call;Contrats;Contractual Call Dt;TEC_CONTRACT;CNTRCTUAL_CALL_DT
Devise montant coût amorti;Non renseigné;Devise du cût amorti;"Tranches ""OMP""";Amortized Cost Amt Currency Cd;TEC_IFRS9_TRANCHE;AMRTZD_COST_AMT_CURY_CD
Frais (euro);Non renseigné;Total des frais à la date d'arrêté (euro);Contrats;Fees Euro Amt;TEC_CONTRACT;FEES_EURO_AMT
Date arrêté comptes;Non renseigné;La date d'arrêté des comptes pour la notation correspond à la date à laquelle se réfère le nombre de salarié;Tiers;Balance Sheet Dt;TEC_PARTY;BAL_SHET_DT
Date de remboursement anticipé la plus proche à venir;Non renseigné;Non renseigné;Contrats;Early Repayment Dt;TEC_CONTRACT;EARLY_RPMT_DT
Rating tranche;Non renseigné;Rating de la tranche dans l’échelle de la source du rating.;Contrats;Securitization Tranche Rating Cd;TEC_CONTRACT;SCURTZN_TRNCH_RTG_CD
Application Finance;Non renseigné;Code de l'application émettrice spécifique à PALMA;Paliers;Finance Application Cd;TEC_SCHEDULE_STAGE;FINC_APLCTN_CD
Type d'amortissement en début de contrat;Non renseigné;Non renseigné;Contrats;Initial Amortization Method Cd;TEC_CONTRACT;INIT_AMRTZN_METH_CD
Décote restructuration NF restant à étaler (euro);Non renseigné;"Montant total de la décote en Norme Française restant à étaler pour un crédit restructuré à un taux inférieur au taux du marché, pour cause de défaillance du client.
L’étalement serait linéaire et à déclarer échéance par échéance dans le fichier échéanciers.";Contrats;Restructuring Haircut fr Euro Amt;TEC_CONTRACT;RESTRUCTURING_HRCT_FR_EURO_AMT
Balancing Payment initiale en dev. de paiement - Jambe rec. (euro);Non renseigné;Non renseigné;Contrats;Lending Leg Initial Balancing Payment Euro Amt;TEC_CONTRACT;LENDG_LEG_INIT_BLNCG_PMT_EURO_AMT
Confirmation autorisation;Non renseigné;Correspond au niveau d'engagement de l'établissement dans une opération.;Autorisation;Confirmation Ind;TEC_AUTORIZATION;CNFRMTN_IND
Indicateur TRR (mode de prise en compte);Non renseigné;Permet de différencier les sûretés véhiculées qui rentrent déjà dans la détermination du LGD et celles qui devront faire l’objet d’un traitement particulier moteur avec une substitution de PD.;Garanties reçues;TRR Ind;TEC_RECEIVED_GUARANTEE;TRR_IND
Montant origine contrat (euro);Non renseigné;Non renseigné;Garanties reçues;Agreement Original Euro Amt;TEC_RECEIVED_GUARANTEE;AGMT_ORIGNL_EURO_AMT
Valeur unitaire de rachat;Non renseigné;Valeur d'une unité du titre au moment du rachat;Contrats;Repurchase Security Unitary Amt;TEC_CONTRACT;RPRCH_SCURTY_UNITRY_AMT
Devise capital restant dû;Non renseigné;Devise du Capital restant dû;Contrats;Capital Outstanding Amt Currency Cd;TEC_CONTRACT;CPTL_OUTST_AMT_CURY_CD
Devise Montant de l'hypothèque;Non renseigné;Devise d'expression du montant de l'hypothèque;Garanties reçues;Mortgage Amt Currency Cd;TEC_RECEIVED_GUARANTEE;MORTG_AMT_CURY_CD
Indice boursier titres sous-jacent;Non renseigné;Code de l'indice;Contrats;Underlying Investment Product Stock Index Cd;TEC_CONTRACT;UNDRLY_INVSTMT_PROD_STK_INDX_CD
Application Finance;Non renseigné;Code de l'application émettrice spécifique à PALMA;Contrats;Finance Application Cd;TEC_CONTRACT;FINC_APLCTN_CD
Montant Abonnement;Non renseigné;Montant de l'abonnement en devise d'origine;Contrats;Planned Payment Amt;TEC_CONTRACT;PLND_PMT_AMT
Date fin palier;Non renseigné;Date de fin du palier;Contrats;Last Schedule Stage End Dt;TEC_CONTRACT;LAST_SCHD_STGE_END_DT
Devise montant palier;Non renseigné;Devise du montant du palier à amortir;Contrats;Schedule Stage Currency Cd;TEC_CONTRACT;SCHD_STGE_CURY_CD
Devise montant des retraits anticipés;Non renseigné;Non renseigné;Contrats;Early Withdrawal Amt Currency Cd;TEC_CONTRACT;EARLY_WDRWL_AMT_CURY_CD
Coût initial;Non renseigné;Non renseigné;Contrats;Initial Operation Cost Amt;TEC_CONTRACT;INIT_OPRTN_COST_AMT
Durée initiale du contrat en jours;Non renseigné;Non renseigné;Contrats;Days Initial Duration Num;TEC_CONTRACT;DAYS_INIT_DURTN_NUM
Entité rattachée au Tiers en risque;Non renseigné;Entité rattachée au Tiers en risque;Lignes d'autorisation;Risk Party Entity Id;TEC_AUTORIZATION_LINE;RISK_PRTY_ENT_ID
Identifiant du partenaire tiers;Non renseigné;Non renseigné;Tiers;Party Partner Id;TEC_PARTY;PRTY_PRTNR_ID
Catégorie contrepartie tiers initial;Non renseigné;Catégorie de contrepartie tiers initial;"Tranches ""OMP""";Original Counterparty Counterparty Category Cd;TEC_IFRS9_TRANCHE;ORIGNL_CNTPTY_CNTPTY_CTGY_CD
Indice titres prêt - Jambe emprunteuse;Non renseigné;Code de l'indice de pêt jambes emprunteuse;Contrats;Borrowing Leg Stock Index Cd;TEC_CONTRACT;BORWG_LEG_STK_INDX_CD
Montant PCCO MtM - jambe prêt.;Non renseigné;Numéro du poste comptable PCCO du MtM de la jambe prêteuse;Contrats;Lending Leg MtM Amt COA Cd;TEC_CONTRACT;LENDG_LEG_MTM_AMT_COA_CD
Séniorité tranche vehicule;Non renseigné;Séniorité de la tranche sous-jacente à l’opération.;Contrats;Securitization Tranche Seniority Level Cd;TEC_CONTRACT;SCURTZN_TRNCH_SRY_LVL_CD
Valeur hypothécaire du bien immobilier loué (euro);Non renseigné;Valeur hypothécaire du bien immobilier loué à la date d’évaluation, contravalorisé en euro;Contrats;Asset Mortgage Value Euro Amt;TEC_CONTRACT;ASSET_MORTG_VAL_EURO_AMT
Entité rattachée à l'émetteur du sous jacent;Non renseigné;Entité rattachée à l'émetteur du sous jacent;Contrats;Underlying Issuer Party Entity Id;TEC_CONTRACT;UNDRLY_ISSUR_PRTY_ENT_ID
Note Long Terme Fitch;Non renseigné;Cotation externes (selon la nomenclature de l'organisme);Tiers;External Rating Fitch Long Term Grade Val;TEC_PARTY;EXTR_RTG_FITCH_LONG_TERM_GRADE_VAL
Confirmation autorisation;Non renseigné;Correspond au niveau d'engagement de l'établissement dans une opération.;Contrats;Confirmation Ind;TEC_CONTRACT;CNFRMTN_IND
Identifiant central du garant;Non renseigné;Identifiant central du garant;"Tranches ""OMP""";Guarantor Central Id;TEC_IFRS9_TRANCHE;GUARTR_CENTRL_ID
Indicateur collatéral reçu - Jambe prêteuse;Non renseigné;Non renseigné;Contrats;Lending Leg Received Collateral Ind;TEC_CONTRACT;LENDG_LEG_RECVD_CLTRL_IND
Code type risque;Non renseigné;Classification de l'opération selon la nomenclature risque.;Contrats;Risk Type Cd;TEC_CONTRACT;RISK_TYPE_CD
Type prêt;Non renseigné;Le type de prêt permet d'identifier si le prêt est un prêt principal, un prêt relai, un prêt travaux;Contrats;Loan Type Cd;TEC_CONTRACT;LOAN_TYPE_CD
Objet Métier;Non renseigné;Type d’enregistrement dans la création de la ligne en base (ex : P3C);Contrats;Flow Type Cd;TEC_CONTRACT;FLOW_TYPE_CD
Balancing Payment inflation initiale;Non renseigné;Composante inflation de la Balancing Payment. Montant de la Balancing Payment liée à l'inflation.;Contrats;Initial Inflation Balancing Payment Amt;TEC_CONTRACT;INIT_INFLTN_BLNCG_PMT_AMT
Identifiant entité;Non renseigné;"Identifiant national de l’entité déclarante
Correspond au code consolidation comptable (sur 5 caractères)";Echéanciers;Entity Id;TEC_SCHEDULE;ENT_ID
Montant loyers (euro);Non renseigné;Non renseigné;Contrats;Agreement Asset Leasing Euro Amt;TEC_CONTRACT;AGMT_ASSET_LEASG_EURO_AMT
Modèle assiette interne risque variation;Non renseigné;Permet d'identifier le modèle interne utilisé en local pour calculer le risque interne de variation;Contrats;Fluctuation Risk Analytical Model Id;TEC_CONTRACT;FLUC_RISK_ANLTCL_MODL_ID
Devise montant revisé du contrat;Non renseigné;Non renseigné;Lignes d'autorisation;Agreement Revised Amt Currency Cd;TEC_AUTORIZATION_LINE;AGMT_RVSD_AMT_CURY_CD
Description du semestre;Non renseigné;Non renseigné;Arrêtés;Semester Desc;TEC_STATEMENT_DATE;SEMESTER_DESC
Indicateur dénouement CDS;Non renseigné;Indicateur de dénouement du CDS lorsque l’acheteur de protection devient insolvable;Contrats;CDS Settlement Ind;TEC_CONTRACT;CDS_SETLMT_IND
Identifiant tiers Garant;Non renseigné;"Permet d'identifier de manière unique le tiers dans le système Zone de Partage
Notion technique a-significative et invariante dans le temps (d'un arrêté sur l'autre)";Garanties reçues;Guarantor Party Id;TEC_RECEIVED_GUARANTEE;GUARTR_PRTY_ID
Taux plafond en début de contrat;Non renseigné;Non renseigné;Contrats;Initial Cap Rate;TEC_CONTRACT;INIT_CAP_RATE
Segment notation origine;Non renseigné;"Segment de   notation ANADEFI
Données de niveau Tiers mais stocké au niveau Contrat pour des questions de traçabilité (donnée à l'origine du contrat non nécessairement disponible dans le référentiel)";Contrats;Original Grade Segment Cd;TEC_CONTRACT;ORIGNL_GRADE_SEGMT_CD
Devise CA de la contrepartie initiale;Non renseigné;Devise du CA en million  d'euros de la contrepartie initiale;"Tranches ""OMP""";Original Counterparty Turnover Amt Currency Cd;TEC_IFRS9_TRANCHE;ORIGNL_CNTPTY_TRNVR_AMT_CURY_CD
Date initale échéance contrat;Non renseigné;"Date contractuelle d'échéance du contrat
Il peut s'agir, par exemple, de la date limite de remboursement des tirages réalisés ou de la date de fin d'effet de la sûreté";Contrats;Original Maturity Dt;TEC_CONTRACT;ORIGNL_MATURTY_DT
Durée restant à étaler sur la Balancing Payment intiale;Non renseigné;Non renseigné;Contrats;Initial Balancing Payment Remaining Period Num;TEC_CONTRACT;INIT_BLNCG_PMT_RMNG_PRD_NUM
Information complémentaire nature juridique 2;Non renseigné;Précisions qualitatives supplémentaires sur le sous-jacent du FRR affinant l'information remontée en M1 5.2.;Garanties reçues;Legal Nature Additional Information 2 Cd;TEC_RECEIVED_GUARANTEE;LEGL_NATR_ADDL_INFOMTN_2_CD
